"","name_full","secondary_names"
"1","R. Rydell",NA
"2","Andrew J. Penniman","A. J. Penniman"
"3","G. Gorelick",NA
"4","Kipling Will","K.W.Will"
"5","R. A. Smith",NA
"6","John S. Strazanac","J. Strazana, John Strazanac"
"7","Hampton L. Carson","Carson H.L., Carson, H. L. Carson"
"8","Yu-Feng Hsu","Y.F. Hsu, Y._F. Hsu, F. Hsu, Frank Hsu"
"9","Francis G. Howarth","F.G. Howarth, Frank Howarth"
"10","D. Batser",NA
"11","J. R. Wilson",NA
"12","L. D. Thurman",NA
"13","T. A. Smith",NA
"14","K. Wood",NA
"15","K. Fay",NA
"16","Robert H. Robichaux","R. Robichaux"
"17","Mandy L. Heddle","M. Heddle"
"18","Bernard C. Nelson","B. C. Nelson"
"19","Blair Tollefson","Blair Tellefson"
"20","J. Halloran",NA
"21","Douglas J. Gould","D. J. Gould"
"22","James E. Gillaspy","J. E. Gillaspy, J.E. Gillaspy"
"23","E. H. Nast",NA
"24","Gregory C. Luther",NA
"25","K. A. Giese",NA
"26","William C. Stehr","W. C. Stehr, W. Stehr"
"27","David J. Powell","D. Powell, D. J. Powell"
"28","C. J. Lyons","C. J. Lyons"
"29","Edward O. Essig","E.O. Essig"
"30","A. J. H.",NA
"31","A. M. R.",NA
"32","Julius G. Grundel","J. G. Grundel"
"33","A. P.",NA
"34","A. R.",NA
"35","Phillip A. Adams","P. A. Adams"
"36","Alastair M. Adamson","A. M. Adamson"
"37","T. Aldrich",NA
"38","Merlin W. Allen","M. W. Allen"
"39","Herbert Ruckes Jr.","H. Ruckes Jr., H. Ruckes jr."
"40","C. G. Anderson",NA
"41","C. W. Anderson",NA
"42","Gerald W. Anderson",NA
"43","Louis A. Ruud",NA
"44","B. Sheldon",NA
"45","R. D. Gehring",NA
"46","R. W. Morgan","R.W. Morgan"
"47","K. Y. Arakawa",NA
"48","Horace M. Armitage","H. M. Armitage"
"49","Daphne Aubertin","D. Aubertin"
"50","Clarence Austin",NA
"51","BN?L",NA
"52","A. L. Bacon","A. Bacon"
"53","Oscar G. Bacon","O. Bacon, Oscar Bacon"
"54","M. E. Badgley","M. Badgley"
"55","Luis A. Bahamondes","L. A. Bahamondes"
"56","S. S. Bahter","S. S. B."
"57","Stanley F. Bailey","Bailey"
"58","W. P. Baird",NA
"59","Baker",NA
"60","Edward W. Baker","E. Baker"
"61","Kenneth F. Baker","K. F. Baker"
"62","W. C. Baker","W. C. Baker"
"63","J. Ball",NA
"64","William F. Barr","Barr W. F. Barr W., W. Barr"
"65","Blair R. Bartlett","B. Bartlett"
"66","Kay H. Beach",NA
"67","Richard S. Beal Jr.","R. S. Beal, R.S. Beal"
"68","John W. Beardsley Jr.","Jack Beardsley, J. W. Beardsley, J. Beardsley"
"69","Joseph I. Beaulne","J. I. Beaulne"
"70","M. S. Beckley",NA
"71","A. Beirnaert","Beirnaert"
"72","S. H. Benedict","S. R. Benedict"
"73","Joseph C. Bequaert","J. Bequaert, J. C. Bequaert"
"74","J. Bergamin",NA
"75","David Shapiro",NA
"76","S. S. Bhatnager","S. S. Bhataiger, S. S. Bhatanger, S. S. Bhateiger, S. S. Bhatiger"
"77","Onkar S. Bindra","O. S. Bindra"
"78","Anthony Musgrave","A. Musgrave"
"79","L. C. Bishop",NA
"80","Franklin S. Blanton","S. Blanton"
"81","George E. Bohart",NA
"82","J. Breun",NA
"83","Richard M. Bohart","R. Bohart, R.M. Bohart"
"84","Mark Vermeij",NA
"85","Adolf DeBrot",NA
"86","Alfred M. Boyce","A.M. Boyce, A. Boyce"
"87","Arthur D. Borden","A. D. Borden"
"88","Sarah C. Crews",NA
"89","R. Ortiz",NA
"90","Ruben A. Stirton","R.A. Stirton"
"91","H. J. Bredo","Bredo"
"92","Clement S. Brimley",NA
"93","British Museum of Natural History",NA
"94","H. H. Britten",NA
"95","A. C. Brown",NA
"96","Owen F. Bryant","O. Bryant"
"97","Gary R. Buckingham","G. Buckingham"
"98","I. R. Burden",NA
"99","E. Burgeon",NA
